ScopeID,IPAddress,Name,ClientID,Description
192.168.85.0,192.168.85.10,2-DR-G203-01,00-00-00-00-00-01,2-DR-G203-01
192.168.85.0,192.168.85.11,2-DR-G204-1-01,00-00-00-00-00-02,2-DR-G204-1-01
192.168.85.0,192.168.85.20,2-DR-H122-01,00-00-00-00-00-03,2-DR-H122-01
192.168.85.0,192.168.85.21,2-DR-H123-01,00-00-00-00-00-04,2-DR-H123-01
192.168.85.0,192.168.85.30,2-DR-J202-1-01,00-00-00-00-00-05,2-DR-J202-1-01
192.168.85.0,192.168.85.31,2-DR-J202-2-01,00-00-00-00-00-06,2-DR-J202-2-01
192.168.85.0,192.168.85.32,2-DR-J203-1-01,00-00-00-00-00-07,2-DR-J203-1-01
192.168.85.0,192.168.85.33,2-DR-J203-2-01,00-00-00-00-00-08,2-DR-J203-2-01
192.168.85.0,192.168.85.34,2-DR-J206-1-01,00-00-00-00-00-09,2-DR-J206-1-01
192.168.85.0,192.168.85.35,2-DR-J206-2-01,00-00-00-00-00-0A,2-DR-J206-2-01
192.168.85.0,192.168.85.36,2-DR-J207-1-01,00-00-00-00-00-0B,2-DR-J207-1-01
192.168.85.0,192.168.85.37,2-DR-J207-2-01,00-00-00-00-00-0C,2-DR-J207-2-01
192.168.85.0,192.168.85.50,2-DR-K102-1-01,00-00-00-00-00-0D,2-DR-K102-1-01
192.168.85.0,192.168.85.51,2-DR-K102-2-01,00-00-00-00-00-0E,2-DR-K102-2-01
192.168.85.0,192.168.85.52,2-DR-K201-01,00-00-00-00-00-0F,2-DR-K201-01
192.168.85.0,192.168.85.53,2-DR-K202-01,00-00-00-00-00-10,2-DR-K202-01
192.168.85.0,192.168.85.54,2-DR-K203-01,00-00-00-00-00-11,2-DR-K203-01
192.168.85.0,192.168.85.55,2-DR-K204-01,00-00-00-00-00-12,2-DR-K204-01
192.168.85.0,192.168.85.56,2-DR-K206-01,00-00-00-00-00-13,2-DR-K206-01
192.168.85.0,192.168.85.57,2-DR-K208-01,00-00-00-00-00-14,2-DR-K208-01
192.168.85.0,192.168.85.70,2-DR-L101-1-01,00-00-00-00-00-15,2-DR-L101-1-01
192.168.85.0,192.168.85.71,2-DR-L101-2-01,00-00-00-00-00-16,2-DR-L101-2-01
192.168.85.0,192.168.85.72,2-DR-L201-01,00-00-00-00-00-17,2-DR-L201-01
192.168.85.0,192.168.85.73,2-DR-L203-01,00-00-00-00-00-18,2-DR-L203-01
192.168.85.0,192.168.85.74,2-DR-L204-01,00-00-00-00-00-19,2-DR-L204-01
192.168.85.0,192.168.85.75,2-DR-L206-01,00-00-00-00-00-1A,2-DR-L206-01
192.168.85.0,192.168.85.90,2-DR-M104-01,00-00-00-00-00-1B,2-DR-M104-01
192.168.85.0,192.168.85.91,2-DR-M105-01,00-00-00-00-00-1C,2-DR-M105-01
192.168.85.0,192.168.85.92,2-DR-M201-01,00-00-00-00-00-1D,2-DR-M201-01
192.168.85.0,192.168.85.93,2-DR-M203-01,00-00-00-00-00-1E,2-DR-M203-01
192.168.85.0,192.168.85.94,2-DR-M204-01,00-00-00-00-00-1F,2-DR-M204-01
192.168.85.0,192.168.85.95,2-DR-M204-02,00-00-00-00-00-20,2-DR-M204-02
192.168.85.0,192.168.85.96,2-DR-M206-1-01,00-00-00-00-00-21,2-DR-M206-1-01
192.168.85.0,192.168.85.97,2-DR-M206-2-01,00-00-00-00-00-22,2-DR-M206-2-01
192.168.85.0,192.168.85.98,2-DR-M207-1-01,00-00-00-00-00-23,2-DR-M207-1-01
192.168.85.0,192.168.85.99,2-DR-M207-2-01,00-00-00-00-00-24,2-DR-M207-2-01
192.168.85.0,192.168.85.110,2-DR-N301-01,00-00-00-00-00-25,2-DR-N301-01
192.168.85.0,192.168.85.111,2-DR-N304-01,00-00-00-00-00-26,2-DR-N304-01
192.168.85.0,192.168.85.112,2-DR-N306-01,00-00-00-00-00-27,2-DR-N306-01
192.168.85.0,192.168.85.114,2-DR-N308-01,00-00-00-00-00-28,2-DR-N308-01
192.168.85.0,192.168.85.115,2-DR-N315-01,00-00-00-00-00-29,2-DR-N315-01
192.168.85.0,192.168.85.130,2-DR-O101-01,00-00-00-00-00-2A,2-DR-O101-01
192.168.85.0,192.168.85.140,2-DR-U103-01,00-00-00-00-00-2B,2-DR-U103-01
